q_idx,tag_ok_ave,tag_ok_any,pass_rate,pass@1,pass@2,pass@4,pass@8,len_min,len_max,len_mean,len_std,entropy_mean,entropy_std,entropy_max,entropy_p95
0,1.0,1,0.5,0,1,1,1,93,163,117.125,20.207903775503286,0.44921875,1.1044921875,10.265625,2.814843749999999
1,1.0,1,0.875,0,1,1,1,40,82,55.875,12.663308217049762,0.64794921875,1.34765625,10.8828125,3.6583007812499995
2,1.0,1,0.25,1,1,1,1,97,170,132.75,25.950674365033368,0.292236328125,0.767578125,6.90234375,2.0373046875000003
3,1.0,1,1.0,1,1,1,1,58,67,60.375,2.6896793489187516,0.293212890625,0.865234375,7.10546875,2.07080078125
4,1.0,1,0.875,1,1,1,1,72,112,89.75,11.486405007660142,0.318603515625,1.0537109375,11.9296875,2.155322265624983
5,1.0,1,0.625,0,0,1,1,87,175,127.125,24.745896124408183,0.38134765625,0.93115234375,9.0,2.262304687499993
6,0.875,1,0.75,1,1,1,1,94,197,143.5,31.87867625859016,0.25927734375,0.94189453125,8.78125,1.5156249999999991
7,0.875,1,0.0,0,0,0,0,48,200,114.5,56.68994619859856,0.57763671875,1.24609375,9.5078125,3.07421875
8,0.125,1,0.0,0,0,0,0,179,200,195.875,7.490619133289317,0.32763671875,0.8623046875,11.265625,1.9873046875
9,0.75,1,0.75,0,1,1,1,151,200,167.25,17.224619008848933,0.336181640625,0.9814453125,10.9375,2.01953125
10,1.0,1,0.375,1,1,1,1,45,98,78.0,20.143237078483686,0.361572265625,0.853515625,7.5625,2.0858398437499988
11,1.0,1,0.875,1,1,1,1,70,134,95.0,19.352002480363627,0.50390625,1.3603515625,9.90625,2.750390624999998
12,0.75,1,0.0,0,0,0,0,117,200,166.375,25.268248356385925,0.330078125,0.927734375,9.6328125,1.7967285156249988
13,1.0,1,0.125,0,0,0,1,58,121,89.875,19.290136728390497,0.564453125,1.302734375,8.9375,3.050781249999999
14,1.0,1,0.875,0,1,1,1,64,121,94.0,18.614510468986285,0.328369140625,0.9013671875,8.796875,2.1953124999999982
15,1.0,1,1.0,1,1,1,1,37,88,55.875,15.99560486508716,0.57958984375,1.3876953125,11.75,3.5761718749999902
16,1.0,1,0.75,0,0,1,1,39,121,88.0,22.666053913286273,0.51318359375,1.3076171875,14.4921875,2.952343749999999
17,1.0,1,0.75,0,1,1,1,96,173,125.125,25.05712224099168,0.24853515625,0.7626953125,8.3984375,1.510742187499996
18,1.0,1,0.875,1,1,1,1,122,152,137.0,11.543396380615196,0.2269287109375,0.74609375,7.46484375,1.5020507812499977
19,1.0,1,0.75,0,1,1,1,90,124,107.875,10.540843182592178,0.34130859375,1.2041015625,12.8828125,1.809423828125
20,1.0,1,0.75,1,1,1,1,66,99,78.375,10.463478150213723,0.36767578125,0.861328125,6.25390625,1.9708496093749988
21,1.0,1,0.5,0,1,1,1,67,141,95.75,21.562409420099602,0.47216796875,1.0771484375,8.6484375,2.550390625
22,1.0,1,0.25,0,0,0,1,87,178,146.0,27.49545416973504,0.420166015625,1.107421875,12.65625,2.3176757812499997
23,1.0,1,0.5,1,1,1,1,94,173,122.875,25.63414470974212,0.25146484375,0.77392578125,6.3984375,1.5775390625000005
24,1.0,1,1.0,1,1,1,1,65,113,86.0,13.729530217745982,0.349853515625,0.92138671875,6.5625,2.188671874999999
25,1.0,1,0.75,1,1,1,1,110,171,137.625,21.070936737601393,0.2271728515625,0.75341796875,8.15625,1.553222656249996
26,1.0,1,0.75,1,1,1,1,51,129,83.5,22.44437568746344,0.360107421875,1.02734375,7.40625,2.12890625
27,1.0,1,0.5,1,1,1,1,61,129,87.875,19.09474731437942,0.37353515625,0.919921875,8.6171875,1.764306640624996
28,1.0,1,0.75,1,1,1,1,86,144,110.875,16.026832968493807,0.45361328125,1.1171875,10.171875,2.89013671875
29,1.0,1,0.25,1,1,1,1,84,175,119.25,33.92915413033458,0.361083984375,0.9072265625,8.25,2.3363281249999996
30,1.0,1,0.625,0,1,1,1,97,145,114.625,14.730389506051766,0.45166015625,1.1044921875,10.1953125,2.738769531249999
31,1.0,1,0.75,1,1,1,1,43,113,74.75,22.78568629644497,0.3359375,0.962890625,11.1640625,2.060546875000001
32,1.0,1,1.0,1,1,1,1,65,82,74.875,5.4184292004233106,0.217041015625,0.6298828125,9.09375,1.3583984375
33,1.0,1,0.625,1,1,1,1,82,184,130.625,32.958069952592794,0.34375,0.89013671875,9.5859375,2.00517578125
34,1.0,1,0.875,0,1,1,1,58,111,82.625,16.20136954087524,0.33154296875,1.0244140625,14.71875,1.9624511718749997
35,1.0,1,1.0,1,1,1,1,75,126,96.0,15.937377450509228,0.2666015625,0.81591796875,7.75390625,1.4857421874999908
36,1.0,1,0.75,1,1,1,1,63,110,83.75,17.704166176355216,0.474853515625,1.34375,12.2890625,2.6630859375
37,1.0,1,0.25,0,0,1,1,55,164,102.0,37.218946787892854,0.44921875,0.99267578125,7.3125,2.5179687499999996
38,1.0,1,0.75,1,1,1,1,90,145,122.75,17.7464785239213,0.354736328125,0.9755859375,7.9375,2.2417968749999915
39,1.0,1,0.375,0,0,0,1,69,118,91.0,13.162446581088183,0.349609375,0.87060546875,8.75,2.0599609374999996
40,1.0,1,1.0,1,1,1,1,50,75,63.5,8.396427811873332,0.28515625,0.818359375,8.03125,1.9234374999999986
41,1.0,1,1.0,1,1,1,1,39,98,61.875,16.601487132181862,0.48095703125,1.107421875,11.140625,2.8219726562500016
42,1.0,1,0.75,1,1,1,1,60,118,93.0,20.92247595290768,0.326416015625,0.9521484375,8.640625,2.330078125
43,1.0,1,1.0,1,1,1,1,46,91,71.25,11.755317945508747,0.314697265625,0.87255859375,7.0703125,1.8885253906250017
44,1.0,1,0.25,0,1,1,1,72,147,103.0,21.95449840010015,0.36865234375,0.9462890625,7.75390625,2.02109375
45,1.0,1,0.875,1,1,1,1,74,133,103.625,18.88079381276116,0.284912109375,0.79931640625,7.421875,1.65234375
46,0.75,1,0.0,0,0,0,0,102,200,153.375,35.72442266853308,0.408935546875,0.98486328125,7.1875,2.230078124999997
47,1.0,1,0.75,1,1,1,1,63,140,88.625,25.64145812936542,0.34619140625,0.9580078125,10.296875,2.160351562499999
48,0.75,1,0.25,0,0,0,1,79,200,132.375,44.223685678604404,0.390625,0.990234375,11.0546875,2.302734375
49,1.0,1,1.0,1,1,1,1,72,166,111.75,31.7913117061879,0.1844482421875,0.7080078125,9.6484375,1.2330078124999986
50,1.0,1,0.75,1,1,1,1,52,156,89.375,28.512880861112578,0.376708984375,1.060546875,8.515625,2.28125
51,1.0,1,1.0,1,1,1,1,45,80,68.625,9.949089154289451,0.412841796875,0.92578125,7.390625,2.1960937499999957
52,1.0,1,1.0,1,1,1,1,46,73,60.875,7.606535019310698,0.3193359375,0.93115234375,7.28125,1.8048828124999976
53,1.0,1,1.0,1,1,1,1,64,150,100.375,26.452492793685817,0.330322265625,0.9306640625,6.921875,1.8729492187499992
54,1.0,1,0.75,1,1,1,1,116,149,130.25,10.532687216470448,0.33740234375,0.9443359375,9.4921875,2.08203125
55,1.0,1,0.5,0,1,1,1,66,137,102.25,20.656415468323637,0.271728515625,0.8818359375,7.9453125,2.0265624999999963
56,0.75,1,0.375,0,1,1,1,86,200,144.5,36.45545226711637,0.409423828125,1.00390625,7.33203125,2.4580078125
57,0.875,1,0.875,1,1,1,1,36,76,51.625,12.030560045151681,0.460205078125,1.048828125,7.6875,2.9679687499999985
58,1.0,1,0.625,1,1,1,1,57,116,83.75,19.246752972904286,0.465576171875,1.1396484375,10.609375,2.7578125
59,1.0,1,1.0,1,1,1,1,98,127,110.625,9.026869612440406,0.26123046875,0.7275390625,8.734375,1.529345703125
60,1.0,1,1.0,1,1,1,1,50,77,63.875,11.106726565464731,0.330322265625,0.8369140625,6.04296875,2.3916992187500004
61,1.0,1,1.0,1,1,1,1,37,78,56.75,13.016816046944813,0.268798828125,0.68994140625,5.3828125,1.7431640625
62,0.875,1,0.875,1,1,1,1,87,195,139.5,32.0,0.296142578125,0.7666015625,6.21484375,1.9525390624999996
63,1.0,1,0.5,1,1,1,1,53,147,89.875,27.3333015751848,0.4638671875,1.0400390625,9.6796875,2.611328125
64,1.0,1,0.875,1,1,1,1,62,128,104.25,21.364397955477237,0.317626953125,0.931640625,9.140625,1.7810546874999993
65,1.0,1,1.0,1,1,1,1,68,128,103.375,18.12413791053246,0.341796875,0.8857421875,6.80859375,2.134765625
66,1.0,1,0.25,0,0,0,1,70,180,115.75,31.708634470755754,0.6220703125,1.328125,11.671875,3.3548828124999965
67,1.0,1,0.5,1,1,1,1,48,109,76.5,21.650635094610966,0.54736328125,1.470703125,12.96875,3.2578125
68,1.0,1,0.875,1,1,1,1,45,110,87.625,18.933683608849073,0.357421875,1.0595703125,11.703125,2.11562499999999
69,0.875,1,0.0,0,0,0,0,98,200,138.25,34.70860844228705,0.494140625,1.1142578125,9.1875,2.8388671875000027
70,1.0,1,0.875,1,1,1,1,87,166,122.625,25.631706439486234,0.354248046875,1.0498046875,16.9375,2.164941406249997
71,1.0,1,0.75,0,0,1,1,86,172,116.75,24.742423082632794,0.34375,0.9404296875,9.3125,2.22265625
72,1.0,1,1.0,1,1,1,1,38,73,52.125,11.878946712566734,0.315185546875,0.76708984375,6.2421875,1.9027343749999999
73,1.0,1,0.0,0,0,0,0,72,173,105.625,30.512036559364567,0.75927734375,1.474609375,12.0703125,4.119335937499999
74,1.0,1,0.0,0,0,0,0,58,112,79.25,21.1704392963396,0.32421875,0.814453125,7.08203125,1.9773437500000006
75,1.0,1,0.0,0,0,0,0,61,105,89.125,15.08672843926078,0.311279296875,0.77490234375,5.46484375,1.8671875
76,1.0,1,0.0,0,0,0,0,80,165,127.375,33.61524021928149,0.568359375,1.32421875,12.265625,3.4619140625
77,1.0,1,1.0,1,1,1,1,50,110,84.5,16.852299546352718,0.396240234375,0.9619140625,8.5234375,2.3902343749999977
78,1.0,1,1.0,1,1,1,1,85,126,112.5,13.847382424126229,0.28759765625,0.8525390625,7.90625,1.9607910156249946
79,1.0,1,1.0,1,1,1,1,45,89,63.25,17.188295436139093,0.5322265625,1.484375,13.2109375,3.217382812499998
80,1.0,1,0.375,0,1,1,1,76,147,106.125,24.00748581172131,0.41748046875,1.109375,8.25,2.716796875
81,0.75,1,0.25,0,0,0,1,76,200,128.0,42.38218965556169,0.419677734375,1.03515625,8.7265625,2.566406250000001
82,1.0,1,0.875,0,1,1,1,66,125,107.75,17.44813743641424,0.48388671875,1.1806640625,11.671875,2.705078125
83,1.0,1,1.0,1,1,1,1,80,129,100.875,16.457805898721737,0.323486328125,0.96728515625,7.703125,2.247656249999997
84,1.0,1,1.0,1,1,1,1,64,95,73.25,10.034316120194738,0.362548828125,0.94189453125,8.2265625,2.419921875
85,1.0,1,1.0,1,1,1,1,49,62,55.875,3.6550478793033614,0.282958984375,0.7783203125,9.0,1.8493164062499994
86,0.875,1,0.625,1,1,1,1,52,192,116.375,48.3371945296787,0.365478515625,1.1259765625,12.0703125,2.0888671874999982
87,0.75,1,0.25,0,0,0,1,111,200,152.25,31.842385274975868,0.4609375,1.15625,11.328125,2.58447265625
88,1.0,1,1.0,1,1,1,1,45,110,70.625,19.550815200395096,0.430908203125,1.15625,8.96875,2.549218749999996
89,1.0,1,1.0,1,1,1,1,92,156,110.625,19.68462280563181,0.281494140625,0.85400390625,10.0234375,1.574023437499999
90,1.0,1,0.875,1,1,1,1,64,124,84.25,22.111931168489107,0.3662109375,1.10546875,10.453125,2.270703125
91,1.0,1,1.0,1,1,1,1,93,137,124.0,14.654350889752845,0.2177734375,0.74267578125,7.2578125,1.291015625
92,0.875,1,0.75,1,1,1,1,90,192,110.5,31.40461749488441,0.412841796875,1.095703125,12.40625,2.6851562499999986
93,1.0,1,0.75,1,1,1,1,65,145,104.625,25.90819127225982,0.51171875,1.146484375,8.5234375,2.8426757812499996
94,1.0,1,0.375,1,1,1,1,65,136,97.625,22.90708132870707,0.281005859375,0.7021484375,8.2734375,1.6728515624999998
95,1.0,1,1.0,1,1,1,1,48,67,63.375,6.081478027585071,0.2388916015625,0.9345703125,6.70703125,1.2080078124999982
96,0.875,1,0.875,1,1,1,1,43,115,72.75,24.133741939450665,0.328125,0.87353515625,7.515625,1.92333984375
97,0.625,1,0.125,0,1,1,1,137,200,162.875,27.278368261316512,0.44384765625,1.236328125,13.7421875,2.6787109375
98,1.0,1,1.0,1,1,1,1,76,103,88.125,9.713875385241463,0.39013671875,1.142578125,9.9453125,2.07421875
99,1.0,1,1.0,1,1,1,1,42,64,47.5,6.670832032063167,0.3759765625,1.025390625,9.1015625,2.6847656249999976
100,1.0,1,0.75,1,1,1,1,105,175,131.125,25.721768504517726,0.361572265625,1.0966796875,11.0390625,2.4430664062500003
101,1.0,1,1.0,1,1,1,1,59,98,72.875,14.734631824378917,0.3896484375,1.4296875,27.171875,2.27734375
102,1.0,1,1.0,1,1,1,1,61,70,64.75,3.2691742076555053,0.3642578125,0.90283203125,6.22265625,2.490234375
103,1.0,1,0.25,0,0,0,1,56,102,74.5,12.041594578792296,0.53466796875,1.4404296875,12.71875,2.9338867187499993
104,1.0,1,0.625,1,1,1,1,44,86,69.375,11.313017943944047,0.310791015625,0.87841796875,7.95703125,2.078125
105,0.625,1,0.375,1,1,1,1,133,200,166.625,28.561063968276812,0.344970703125,1.1357421875,12.96875,2.3772460937499997
106,1.0,1,0.5,0,1,1,1,30,122,87.625,26.948736055703986,0.3662109375,0.97412109375,7.78125,2.5710937499999944
107,0.875,1,0.875,1,1,1,1,78,117,104.5,12.579745625409124,0.29541015625,0.81884765625,6.87109375,2.2612304687499982
108,0.625,1,0.0,0,0,0,0,67,200,143.25,50.679754340367516,0.399658203125,1.0302734375,7.6484375,2.452343749999991
109,1.0,1,1.0,1,1,1,1,66,85,75.875,5.775757526073961,0.456298828125,1.0654296875,7.58203125,2.8774414062499982
110,1.0,1,0.0,0,0,0,0,81,135,113.0,14.739402972983676,0.329345703125,0.884765625,8.40625,1.9384765625
111,1.0,1,0.875,1,1,1,1,96,158,117.375,22.836032383056388,0.36767578125,1.091796875,8.75,2.365234374999999
112,1.0,1,0.5,1,1,1,1,46,106,67.625,16.046319671501003,0.477294921875,1.0849609375,8.6015625,2.7035156250000005
113,1.0,1,1.0,1,1,1,1,41,105,65.25,19.51121472384536,0.419189453125,1.0771484375,8.8671875,2.3460937500000005
114,1.0,1,0.875,1,1,1,1,59,130,91.5,22.5,0.4013671875,0.96044921875,7.39453125,2.373046875
115,1.0,1,0.875,1,1,1,1,129,167,142.625,10.64116417503273,0.150146484375,0.619140625,7.28515625,0.8080322265625003
116,1.0,1,0.875,1,1,1,1,58,105,84.5,17.649362594722792,0.306396484375,1.119140625,11.109375,1.7601562499999979
117,1.0,1,0.25,0,0,0,1,70,95,84.0,8.48528137423857,0.4716796875,1.0751953125,8.0390625,2.854296875000002
118,1.0,1,0.875,1,1,1,1,44,85,64.25,14.02453207775575,0.32470703125,0.822265625,7.89453125,1.6648437499999984
119,0.875,1,0.375,0,0,1,1,72,200,117.5,42.60868456077939,0.4921875,1.2890625,17.25,2.7978515625
120,1.0,1,0.25,0,0,1,1,68,109,78.125,13.280036709286613,0.5947265625,1.2138671875,10.515625,3.32470703125
121,1.0,1,1.0,1,1,1,1,50,129,74.125,24.927081156846263,0.3671875,0.9501953125,7.83203125,1.932958984374999
122,1.0,1,0.875,1,1,1,1,30,104,52.25,21.022309578160055,0.5263671875,1.296875,8.6328125,3.430273437499993
123,1.0,1,0.5,0,0,1,1,75,123,92.625,14.168075910299182,0.375,1.029296875,8.5078125,2.5093749999999915
124,1.0,1,0.875,1,1,1,1,65,92,72.875,8.738385148298283,0.295166015625,0.90087890625,9.0078125,2.0710937500000055
125,0.875,1,0.125,1,1,1,1,80,200,124.125,37.75724268269599,0.2310791015625,0.814453125,8.4296875,1.613378906249999
